Order ID;Segment;Ship Mode;Value
CA-2013-131205;;Standard Class;291,74
CA-2013-132549;;Standard Class;73,36
CA-2013-133123;;Standard Class;99,156
CA-2013-133368;;Standard Class;405,344
CA-2013-134208;;Standard Class;396
CA-2013-135636;;Standard Class;387,72
CA-2013-136483;;Standard Class;4,704
CA-2013-137736;;Standard Class;41,86
CA-2013-139381;;Standard Class;233,48
CA-2013-140641;;Standard Class;38,19
CA-2013-142370;;Standard Class;254,99
CA-2013-142895;;Standard Class;370,184
CA-2013-145905;;Standard Class;1264,14
CA-2013-146143;;Standard Class;133,38
CA-2013-146150;;Standard Class;264,18
CA-2013-148684;;Standard Class;870,04
CA-2013-150000;;Standard Class;17,92
CA-2013-154060;;Standard Class;187,056
CA-2013-155138;;Standard Class;99,872
CA-2013-156503;;Standard Class;305,248
CA-2013-156573;;Standard Class;60,485
CA-2013-157245;;Standard Class;641,96
CA-2013-157588;;Standard Class;88,15
CA-2013-159989;;Standard Class;40,68
CA-2013-160234;;Standard Class;135,95
CA-2013-160486;;Standard Class;72,224
CA-2013-163174;;Standard Class;186,54
CA-2013-163776;;Standard Class;1110,5
CA-2013-164574;;Standard Class;732,156
CA-2013-166282;;Standard Class;158,256
CA-2013-166485;;Standard Class;16,496
CA-2013-168536;;Standard Class;66,3
CA-2013-169103;;Standard Class;1466,32
CA-2014-100426;;Standard Class;12,48
CA-2014-100622;;Standard Class;1030,742
CA-2014-100902;;Standard Class;699,4
CA-2014-101042;;Standard Class;843,84
CA-2014-102204;;Standard Class;3740,51
CA-2014-102610;;Standard Class;248,396
CA-2014-102736;;Standard Class;177,08
CA-2014-103499;;Standard Class;209,568
CA-2014-104731;;Standard Class;951,98
CA-2014-106537;;Standard Class;20,736
CA-2014-108035;;Standard Class;491,888
CA-2014-108112;;Standard Class;559,2
CA-2014-109183;;Standard Class;649
CA-2014-110926;;Standard Class;25,06
CA-2014-114412;;Standard Class;15,552
CA-2014-114636;;Standard Class;192,16
CA-2014-116855;;Standard Class;504,9
CA-2014-116939;;Standard Class;177,55
CA-2014-117079;;Standard Class;863,88
CA-2014-117198;;Standard Class;659,9
CA-2014-118402;;Standard Class;243,92
CA-2014-119004;;Standard Class;105,408
CA-2014-119305;;Standard Class;173,8
CA-2014-119669;;Standard Class;5,67
CA-2014-120894;;Standard Class;28,08
CA-2014-121804;;Standard Class;72,8
CA-2014-122056;;Standard Class;181,86
CA-2014-123351;;Standard Class;80,48
CA-2014-124296;;Standard Class;712,85
CA-2014-124765;;Standard Class;723,92
CA-2014-126354;;Standard Class;119,178
CA-2014-126914;;Standard Class;776,08
CA-2014-127306;;Standard Class;175,086
CA-2014-128363;;Standard Class;2382,926
CA-2014-128755;;Standard Class;629,86
CA-2014-130309;;Standard Class;544,38
CA-2014-130904;;Standard Class;22,744
CA-2014-132185;;Standard Class;52,344
CA-2014-133501;;Standard Class;5,184
CA-2014-133641;;Standard Class;48,69
CA-2014-133928;;Standard Class;4,572
CA-2014-135587;;Standard Class;372,64
CA-2014-137631;;Standard Class;751,984
CA-2014-138975;;Standard Class;2361,52
CA-2014-139493;;Standard Class;15,92
CA-2014-139948;;Standard Class;7,904
CA-2014-140627;;Standard Class;303,32
CA-2014-140872;;Standard Class;1111,698
CA-2014-142090;;Standard Class;2165,658
CA-2014-143861;;Standard Class;17,088
CA-2014-144365;;Standard Class;11,68
CA-2014-145275;;Standard Class;14,94
CA-2014-145737;;Standard Class;163,96
CA-2014-146136;;Standard Class;24,448
CA-2014-146192;;Standard Class;675,06
CA-2014-146983;;Standard Class;1577,94
CA-2014-147228;;Standard Class;458,984
CA-2014-148999;;Standard Class;419,136
CA-2014-149853;;Standard Class;33,472
CA-2014-150910;;Standard Class;1090,348
CA-2014-152786;;Standard Class;40,41
CA-2014-152968;;Standard Class;23,08
CA-2014-154088;;Standard Class;26,72
CA-2014-158386;;Standard Class;124,75
CA-2014-158743;;Standard Class;199,17
CA-2014-159954;;Standard Class;2,78
CA-2014-161970;;Standard Class;30,9
CA-2014-162173;;Standard Class;608,43
CA-2014-165687;;Standard Class;35,04
CA-2014-165715;;Standard Class;32,776
CA-2014-167871;;Standard Class;47,328
CA-2014-169005;;Standard Class;5,56
US-2011-115196;;Standard Class;1299,99
US-2011-117170;;Standard Class;52,608
US-2011-147627;;Standard Class;1859,4
US-2011-150574;;Standard Class;252,612
US-2011-155544;;Standard Class;310,528
US-2011-156559;;Standard Class;638,82
US-2011-158057;;Standard Class;59,109
US-2011-165659;;Standard Class;904,13
US-2011-167633;;Standard Class;15,552
US-2012-108966;;Standard Class;979,9455
US-2012-120572;;Standard Class;12,828
US-2012-123960;;Standard Class;207,82
US-2012-129553;;Standard Class;29,97
US-2012-134026;;Standard Class;1001,76
US-2012-145436;;Standard Class;551,264
US-2012-164357;;Standard Class;13,12
US-2012-168732;;Standard Class;129,64
US-2012-168935;;Standard Class;459,4335
US-2013-121013;;Standard Class;1678
US-2013-132857;;Standard Class;6,672
US-2013-135923;;Standard Class;530,272
US-2013-137295;;Standard Class;187,228
US-2013-147991;;Standard Class;16,72
US-2013-164588;;Standard Class;12,84
US-2013-169369;;Standard Class;299,07
US-2014-102904;;Standard Class;239,92
US-2014-105935;;Standard Class;3002,65
US-2014-117450;;Standard Class;107,552
US-2014-126179;;Standard Class;311,96
US-2014-134642;;Standard Class;428,704
US-2014-135986;;Standard Class;536,36
US-2014-136189;;Standard Class;82,38
US-2014-146822;;Standard Class;49,12
US-2014-146878;;Standard Class;12,294
US-2014-149510;;Standard Class;98,446
US-2014-152842;;Standard Class;242,352
US-2014-152898;;Standard Class;67,9
US-2014-165953;;Standard Class;71,096
US-2014-166233;;Standard Class;24
US-2014-168690;;Standard Class;2,808
Grand Total;;Standard Class;116922,1345
CA-2011-103317;Corporate;First Class;242,546
CA-2011-103989;Corporate;First Class;590,762
CA-2011-106054;Corporate;First Class;12,78
CA-2011-111934;Corporate;First Class;47,32
CA-2011-124688;Corporate;First Class;1812,01
CA-2011-125682;Corporate;First Class;9,96
CA-2011-131905;Corporate;First Class;321,56
CA-2011-163293;Corporate;First Class;116,85
CA-2011-169684;Corporate;First Class;426,942
CA-2012-104038;Corporate;First Class;176,63
CA-2012-121720;Corporate;First Class;3165,744
CA-2012-133396;Corporate;First Class;64,68
CA-2012-140718;Corporate;First Class;246,364
CA-2012-154746;Corporate;First Class;860,07
CA-2012-156734;Corporate;First Class;670,001
CA-2012-158323;Corporate;First Class;17,088
CA-2013-112676;Corporate;First Class;14,352
CA-2013-127208;Corporate;First Class;224,9
CA-2013-133711;Corporate;First Class;3236,41
CA-2013-153318;Corporate;First Class;783,96
CA-2013-160598;Corporate;First Class;31,008
CA-2013-162901;Corporate;First Class;31,4
CA-2014-113481;Corporate;First Class;740,214
CA-2014-115882;Corporate;First Class;1017,136
CA-2014-117695;Corporate;First Class;13,76
CA-2014-122707;Corporate;First Class;503,22
CA-2014-123687;Corporate;First Class;234,2
CA-2014-124828;Corporate;First Class;9,552
CA-2014-129028;Corporate;First Class;127,95
CA-2014-134810;Corporate;First Class;272,232
CA-2014-147760;Corporate;First Class;1883,724
CA-2014-155698;Corporate;First Class;668,54
CA-2014-159464;Corporate;First Class;524,85
CA-2014-161851;Corporate;First Class;15,57
US-2012-131842;Corporate;First Class;97,424
US-2013-101616;Corporate;First Class;87,28
US-2013-140809;Corporate;First Class;56,45
US-2013-153815;Corporate;First Class;368,432
US-2014-128951;Corporate;First Class;1065,84
US-2014-162208;Corporate;First Class;2,896
Grand Total;Corporate;First Class;20792,607
CA-2011-158771;;Same Day;158,71
CA-2013-130820;;Same Day;630,024
CA-2014-161046;;Same Day;839,25
US-2012-130519;;Same Day;111,904
US-2014-168116;;Same Day;8167,42
Grand Total;;Same Day;9907,308
CA-2011-101560;;Second Class;542,34
CA-2011-102988;;Second Class;4251,92
CA-2011-110408;;Second Class;2216,8
CA-2011-114790;;Second Class;782,63
CA-2011-120432;;Second Class;25,5
CA-2011-121286;;Second Class;66,616
CA-2011-129819;;Second Class;12,39
CA-2011-153913;;Second Class;1015,816
CA-2011-162775;;Second Class;1287,26
CA-2011-164910;;Second Class;7,872
CA-2012-109470;;Second Class;596,48
CA-2012-109708;;Second Class;467,04
CA-2012-116750;;Second Class;12,158
CA-2012-119592;;Second Class;3,76
CA-2012-142202;;Second Class;717,12
CA-2012-161445;;Second Class;140,736
CA-2012-163237;;Second Class;520,03
CA-2012-166604;;Second Class;17,94
CA-2012-168004;;Second Class;392,94
CA-2012-169677;;Second Class;9,82
CA-2013-109407;;Second Class;31,36
CA-2013-112697;;Second Class;1410,066
CA-2013-113236;;Second Class;232,624
CA-2013-122518;;Second Class;10,08
CA-2013-134474;;Second Class;255,904
CA-2013-143805;;Second Class;2145,25
CA-2013-157161;;Second Class;199,18
CA-2013-162236;;Second Class;1106,924
CA-2013-162747;;Second Class;86,45
CA-2013-163167;;Second Class;2673,69
CA-2014-103009;;Second Class;26,4
CA-2014-104864;;Second Class;552,856
CA-2014-115070;;Second Class;16,739
CA-2014-116113;;Second Class;10,16
CA-2014-122693;;Second Class;1245,86
CA-2014-128300;;Second Class;406,94
CA-2014-133263;;Second Class;3098,61
CA-2014-134495;;Second Class;269,4
CA-2014-134649;;Second Class;22,63
CA-2014-143567;;Second Class;3291,07
CA-2014-145702;;Second Class;342,24
CA-2014-153339;;Second Class;15,992
CA-2014-153654;;Second Class;19,008
CA-2014-158561;;Second Class;1158,12
US-2012-140851;;Second Class;38,88
US-2012-149629;;Second Class;231,92
US-2013-138408;;Second Class;1319,96
US-2013-161844;;Second Class;82,92
US-2014-109610;;Second Class;701,96
US-2014-162670;;Second Class;1152,87
Grand Total;;Second Class;35243,231
CA-2011-100916;;Standard Class;788,86
CA-2011-101770;;Standard Class;1,869
CA-2011-102274;;Standard Class;865,5
CA-2011-102673;;Standard Class;1044,44
CA-2011-103807;;Standard Class;21,19
CA-2011-106810;;Standard Class;310,88
CA-2011-107811;;Standard Class;661,504
CA-2011-111500;;Standard Class;484,79
CA-2011-112718;;Standard Class;1,167
CA-2011-114314;;Standard Class;16,23
CA-2011-114321;;Standard Class;1417,35
CA-2011-115084;;Standard Class;605,34
CA-2011-117345;;Standard Class;202,896
CA-2011-117639;;Standard Class;3333,9
CA-2011-125136;;Standard Class;106,944
CA-2011-128846;;Standard Class;752,92
CA-2011-129091;;Standard Class;1022,61
CA-2011-136336;;Standard Class;828,84
CA-2011-137911;;Standard Class;88,768
CA-2011-138527;;Standard Class;192,424
CA-2011-146885;;Standard Class;13,62
CA-2011-148425;;Standard Class;6,642
CA-2011-149020;;Standard Class;54,83
CA-2011-149538;;Standard Class;364,93
CA-2011-151953;;Standard Class;2,816
CA-2011-151967;;Standard Class;129,92
CA-2011-152562;;Standard Class;75,16
CA-2011-152849;;Standard Class;4,368
CA-2011-153087;;Standard Class;521,92
CA-2011-155208;;Standard Class;39,072
CA-2011-160276;;Standard Class;177,68
CA-2011-160773;;Standard Class;581,104
CA-2011-163223;;Standard Class;3769,56
CA-2011-167850;;Standard Class;193,936
CA-2012-103793;;Standard Class;74,352
CA-2012-103870;;Standard Class;284,44
CA-2012-104241;;Standard Class;192,22
CA-2012-104941;;Standard Class;976,29
CA-2012-105571;;Standard Class;1361,631
CA-2012-106187;;Standard Class;268,4
CA-2012-108259;;Standard Class;81,135
CA-2012-113628;;Standard Class;792,508
CA-2012-120845;;Standard Class;22,549
CA-2012-121552;;Standard Class;19,56
CA-2012-122168;;Standard Class;53,28
CA-2012-125066;;Standard Class;62,46
CA-2012-128083;;Standard Class;45,976
CA-2012-131422;;Standard Class;207
CA-2012-137106;;Standard Class;79,96
CA-2012-137281;;Standard Class;6,48
CA-2012-147011;;Standard Class;13,632
CA-2012-147102;;Standard Class;66,36
CA-2012-147529;;Standard Class;324,11
CA-2012-149342;;Standard Class;896,31
CA-2012-149734;;Standard Class;200,984
CA-2012-150308;;Standard Class;246,168
CA-2012-151624;;Standard Class;21,36
CA-2012-153038;;Standard Class;94,688
CA-2012-154291;;Standard Class;457,04
CA-2012-154921;;Standard Class;186,69
CA-2012-155453;;Standard Class;4,608
CA-2012-160696;;Standard Class;7,24
CA-2012-161998;;Standard Class;277,632
CA-2012-162201;;Standard Class;937,608
CA-2012-164427;;Standard Class;239,7
CA-2012-166975;;Standard Class;692,472
CA-2012-169572;;Standard Class;46,62
CA-2013-106558;;Standard Class;316
CA-2013-109743;;Standard Class;104,712
CA-2013-109911;;Standard Class;10,96
CA-2013-112277;;Standard Class;519,68
CA-2013-113831;;Standard Class;4317,3
CA-2013-113845;;Standard Class;574,056
CA-2013-114713;;Standard Class;45,584
CA-2013-115504;;Standard Class;12,96
CA-2013-116764;;Standard Class;9,216
CA-2013-118073;;Standard Class;562,2925
CA-2013-118178;;Standard Class;31,086
CA-2013-119074;;Standard Class;92,7
CA-2013-123617;;Standard Class;7,434
CA-2013-123946;;Standard Class;1159,06
CA-2013-124254;;Standard Class;191,808
CA-2013-125017;;Standard Class;132,224
CA-2013-130001;;Standard Class;36,24
CA-2013-134516;;Standard Class;115,48
CA-2013-138695;;Standard Class;452,464
CA-2013-139689;;Standard Class;40,896
CA-2013-140928;;Standard Class;383,438
CA-2013-142097;;Standard Class;342,76
CA-2013-145709;;Standard Class;64,248
CA-2013-157763;;Standard Class;140,81
CA-2013-165316;;Standard Class;324,387
CA-2013-165827;;Standard Class;50,496
CA-2013-166380;;Standard Class;138,53
CA-2014-104318;;Standard Class;20,768
CA-2014-107167;;Standard Class;1347,52
CA-2014-108322;;Standard Class;26,056
CA-2014-110310;;Standard Class;68,967
CA-2014-119284;;Standard Class;2942,784
CA-2014-125745;;Standard Class;19,52
CA-2014-126046;;Standard Class;12,39
CA-2014-126382;;Standard Class;35,168
CA-2014-127803;;Standard Class;26,16
CA-2014-128769;;Standard Class;81,568
CA-2014-136826;;Standard Class;14,016
CA-2014-139619;;Standard Class;95,616
CA-2014-141614;;Standard Class;20,736
CA-2014-147333;;Standard Class;204,55
CA-2014-147361;;Standard Class;685,26
CA-2014-148810;;Standard Class;287,424
CA-2014-151855;;Standard Class;39,252
CA-2014-154816;;Standard Class;5,78
CA-2014-155824;;Standard Class;61,876
CA-2014-156272;;Standard Class;64,384
CA-2014-157854;;Standard Class;2747,25
CA-2014-158407;;Standard Class;103,968
CA-2014-159100;;Standard Class;1893,786
CA-2014-160017;;Standard Class;10,368
CA-2014-160724;;Standard Class;34,5
CA-2014-161130;;Standard Class;361,376
CA-2014-161592;;Standard Class;8,1
CA-2014-163629;;Standard Class;286,09
CA-2014-164756;;Standard Class;997,83
CA-2014-164917;;Standard Class;47,96
CA-2014-165029;;Standard Class;12,84
CA-2014-168102;;Standard Class;113,568
CA-2014-168389;;Standard Class;873,811
CA-2014-169012;;Standard Class;41,91
US-2011-107405;;Standard Class;16,272
US-2011-109162;;Standard Class;170,352
US-2011-118997;;Standard Class;1215,92
US-2011-143581;;Standard Class;344,91
US-2011-147774;;Standard Class;67,194
US-2011-156216;;Standard Class;18,648
US-2011-157231;;Standard Class;115,36
US-2011-164763;;Standard Class;103,5
US-2012-112508;;Standard Class;6,992
US-2012-136476;;Standard Class;157,794
US-2012-148817;;Standard Class;125,64
US-2012-158911;;Standard Class;16,712
US-2013-102232;;Standard Class;197,05
US-2013-144393;;Standard Class;17,616
US-2013-148901;;Standard Class;191,018
US-2013-150357;;Standard Class;24,703
US-2013-150567;;Standard Class;29,97
US-2013-159415;;Standard Class;79,12
US-2013-164630;;Standard Class;959,968
US-2014-115252;;Standard Class;30,336
US-2014-126060;;Standard Class;198,272
US-2014-128118;;Standard Class;76,521
US-2014-135503;;Standard Class;14,76
US-2014-166611;;Standard Class;68,742
